STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
06,013,370000,1400000US06013370000,06013370000,3700,CT,999356,0,"POLYGON ((-122.326973 37.935021, -122.326105 37.93754, -122.323872 37.942569999999996, -122.324512 37.945158, -122.326394 37.949154, -122.324845 37.949179, -122.323295 37.949748, -122.320445 37.945169, -122.319777 37.945347, -122.319615 37.945398, -122.318183 37.943252, -122.316843 37.943242999999995, -122.318089 37.940979, -122.317102 37.938955, -122.316857 37.938336, -122.320323 37.938342, -122.320284 37.934764, -122.32038 37.93112, -122.321063 37.931112, -122.322658 37.931101, -122.32336699999999 37.932297, -122.326134 37.932683, -122.326973 37.935021))"
06,001,442301,1400000US06001442301,06001442301,4423.01,CT,1429049,0,"POLYGON ((-121.970102 37.53047, -121.968944 37.532073, -121.966472 37.530763, -121.963589 37.532982, -121.959109 37.532872, -121.957909 37.532632, -121.954694 37.533007, -121.953968 37.529575, -121.951627 37.524905, -121.95295899999999 37.524418, -121.957596 37.523925, -121.96900099999999 37.522484, -121.969085 37.522847, -121.969816 37.527881, -121.970102 37.53047))"
06,037,405101,1400000US06037405101,06037405101,4051.01,CT,1121229,0,"POLYGON ((-117.96925999999999 34.09945, -117.96489 34.099497, -117.96051800000001 34.099554, -117.955035 34.099607999999996, -117.954795 34.099613999999995, -117.954757 34.095997, -117.95365699999999 34.096008, -117.953546 34.092354, -117.954778 34.092343, -117.960462 34.092287999999996, -117.96492 34.092233, -117.969212 34.092185, -117.969246 34.096209, -117.96925999999999 34.09945))"
06,037,199800,1400000US06037199800,06037199800,1998,CT,651258,0,"POLYGON ((-118.215616 34.073640999999995, -118.210362 34.073716, -118.209074 34.073734, -118.207786 34.073752, -118.205205 34.073788, -118.20513700000001 34.070268999999996, -118.205083 34.067661, -118.211592 34.067582, -118.215487 34.067527999999996, -118.215582 34.071854, -118.215616 34.073640999999995))"
06,037,291300,1400000US06037291300,06037291300,2913,CT,2353751,45836,"POLYGON ((-118.30914899999999 33.861978, -118.309148 33.865608, -118.302561 33.865696, -118.29937 33.865698, -118.299319 33.865698, -118.299143 33.870531, -118.29435699999999 33.870522, -118.294499 33.86647, -118.298068 33.865553, -118.29196999999999 33.865545, -118.290525 33.866406, -118.290894 33.872696, -118.28742199999999 33.872381, -118.28481 33.872671, -118.281608 33.872631, -118.281555 33.862801999999995, -118.284941 33.861343999999995, -118.285211 33.860481, -118.289429 33.859187, -118.290524 33.859541, -118.292759 33.859905999999995, -118.30914899999999 33.859952, -118.30914899999999 33.861978))"
06,037,292000,1400000US06037292000,06037292000,2920,CT,4000998,1856,"POLYGON ((-118.30914899999999 33.859952, -118.292759 33.859905999999995, -118.290524 33.859541, -118.289429 33.859187, -118.29052300000001 33.858699, -118.29051799999999 33.854223, -118.285254 33.854157, -118.286036 33.852247999999996, -118.286017 33.846253, -118.299207 33.846319, -118.29919699999999 33.843654, -118.299203 33.841951, -118.299196 33.835571, -118.299551 33.835564, -118.300235 33.835640999999995, -118.303877 33.836162, -118.304923 33.836321, -118.309118 33.837359, -118.30912000000001 33.838077, -118.309122 33.838207, -118.30911499999999 33.841867, -118.309138 33.84473, -118.30913699999999 33.846818999999996, -118.30913699999999 33.847393, -118.30915 33.858348, -118.30914899999999 33.859952))"
06,037,604002,1400000US06037604002,06037604002,6040.02,CT,650672,0,"POLYGON ((-118.361309 33.88012, -118.358834 33.880114999999996, -118.357606 33.880156, -118.352357 33.880157, -118.352359 33.876632, -118.352348 33.874428, -118.354711 33.872854, -118.358828 33.872856999999996, -118.36129 33.872858, -118.3613 33.876619999999996, -118.361302 33.877555, -118.361309 33.88012))"
06,037,920035,1400000US06037920035,06037920035,9200.35,CT,2466773,0,"POLYGON ((-118.472249 34.414563, -118.472163 34.415727, -118.472157 34.420871999999996, -118.472095 34.423451, -118.47020599999999 34.425955, -118.468619 34.426871, -118.467935 34.427741, -118.467874 34.427718999999996, -118.467032 34.427591, -118.463014 34.427554, -118.45877 34.42682, -118.457812 34.426251, -118.45674 34.424644, -118.457032 34.423449999999995, -118.455822 34.422225, -118.453367 34.420862, -118.455849 34.416478, -118.45754 34.412531, -118.466095 34.411287, -118.47306 34.412144999999995, -118.472249 34.414563))"
06,029,002804,1400000US06029002804,06029002804,28.04,CT,2387935,0,"POLYGON ((-119.074471 35.341879, -119.074061 35.344908, -119.073655 35.347497, -119.07361900000001 35.3543, -119.069259 35.354279, -119.06115199999999 35.354239, -119.061142 35.346899, -119.061138 35.344235999999995, -119.06105600000001 35.338998, -119.060838 35.338173999999995, -119.06593 35.336329, -119.070345 35.335029999999996, -119.074474 35.334738, -119.074471 35.341879))"
06,107,001800,1400000US06107001800,06107001800,18,CT,2554527,0,"POLYGON ((-119.314003 36.326999, -119.30544 36.326948, -119.296276 36.326893999999996, -119.296027 36.326437999999996, -119.295946 36.320121, -119.295929 36.320121, -119.295882 36.316496, -119.294723 36.316494, -119.294781 36.312867, -119.30534 36.312914, -119.31384 36.312987, -119.313926 36.320219, -119.314003 36.326999))"
