TotalPop,UninsuredPop,MedHouseInc,GEOID
3195,39,206607,06085507904
8604,537,114300,06085508504
4871,218,152969,06085508505
7587,570,145500,06085508704
5779,361,112278,06085509403
3167,132,210529,06085509802
4624,156,250001,06085510200
5761,104,136065,06085510600
4335,93,176042,06085511800
4223,84,185795,06085511907
7737,185,221538,06085511909
6491,95,130460,06085512021
4120,131,103611,06085512026
8810,253,99619,06085503802
4704,152,108224,06085503803
5285,146,105036,06085503804
5532,187,111765,06085504307
7331,248,145000,06085504311
1981,96,123125,06085504413
4694,91,143864,06085504420
4239,116,114236,06085505007
3125,70,134688,06085505402
5568,88,108478,06085506204
6726,461,68917,06085506305
5784,331,95107,06085506402
3564,190,138000,06085506703
5953,254,49029,06007002700
3681,194,62756,06007003400
3530,138,79008,06007000601
4245,116,23577,06007000604
2625,72,57330,06007001900
3689,86,37557,06007001300
4075,190,50488,06007000201
4753,82,109444,06007001600
4974,149,56250,06007002000
4210,140,40318,06007003200
4083,35,47411,06007003300
3933,45,78038,06067000400
6353,320,48913,06067004202
5583,369,45966,06067004203
9867,483,49154,06067004300
3831,69,81658,06067005202
5997,417,32157,06067005505
2507,117,169455,06075042800
2373,65,82917,06037482702
7267,227,114831,06037500201
4988,194,133125,06037500202
2973,60,102875,06037500300
2703,51,53500,06037500500
6363,187,55446,06037500900
3669,19,43929,06037501400
2272,37,102292,06037501501
3311,149,68783,06037501802
4153,128,96591,06037501900
4957,274,71159,06037502401
4706,80,95046,06037401202
6120,196,80811,06037401311
4107,108,70642,06037401703
3457,133,36222,06037122410
3808,124,48902,06037123103
3872,52,37045,06037120020
5245,173,78000,06037119900
5238,274,70208,06037120300
2926,84,67375,06037121210
2811,122,82401,06037125600
4181,72,50481,06037123410
5539,142,89674,06037124700
5106,43,39977,06037125320
5008,243,31168,06037128210
2912,68,41570,06037128220
4803,190,55241,06037123601
4795,104,45338,06037123510
2816,81,45521,06037123520
4435,41,65278,06037123700
3551,32,50064,06037124102
3348,124,64364,06037124201
3907,114,75260,06037125200
4313,196,48958,06037125310
5838,284,55997,06037127210
6704,261,66875,06037131020
4941,144,41266,06037482301
3670,127,49295,06037482401
6262,42,70417,06037482600
5027,269,49464,06011000200
2252,77,51806,06011000400
2565,71,56809,06011000500
1594,54,65000,06021010502
8712,491,47824,06021010100
5018,115,54417,06021010200
7118,345,44004,06021010400
1956,43,47321,06021010300
3578,153,49952,06021010501
3681,8,25833,06007000603
3703,94,42114,06007000202
4764,265,37518,06007000300
4402,51,30791,06007000502
3883,199,27031,06007002800
2907,108,48897,06007002900
4573,108,52258,06007003100
4032,202,58681,06007000102
4388,73,35000,06007001100
5834,157,84811,06007001500
5727,75,57609,06007001702
4356,96,47784,06007001800
